number,value,datetime_start,datetime_complete,duration,params_L_ratio_thresh,params_dilate_amount,params_dilate_kernel_size,params_erode_amount,params_erode_before_dilate,params_erode_kernel_size,params_gaussian_blur_kernel_size,params_history,params_var_threshold,state
0,0.041755688393351684,2025-12-03 14:41:07.448594,2025-12-03 14:41:19.553038,0 days 00:00:12.104444,0.18777961900387644,2,7,3,True,3,17,390,2.670725380399041,COMPLETE
1,0.04202489083507631,2025-12-03 14:41:07.450082,2025-12-03 14:41:22.705598,0 days 00:00:15.255516,0.6115845525624852,5,9,4,False,11,19,814,17.951231738347836,COMPLETE
2,0.053982704648882864,2025-12-03 14:41:07.450815,2025-12-03 14:41:20.684306,0 days 00:00:13.233491,1.6788684013333284,4,13,1,True,3,11,947,47.80897169610499,COMPLETE
3,0.11986134125629491,2025-12-03 14:41:07.451628,2025-12-03 14:41:21.201974,0 days 00:00:13.750346,0.4122126835823569,3,15,3,True,1,15,565,19.20890177808014,COMPLETE
4,0.04723930055765994,2025-12-03 14:41:19.554703,2025-12-03 14:41:30.744513,0 days 00:00:11.189810,3.760265182430182,4,1,2,True,5,3,436,29.63928633957992,COMPLETE
5,0.04723930055765994,2025-12-03 14:41:20.685224,2025-12-03 14:41:35.077346,0 days 00:00:14.392122,2.5415286591293555,1,15,3,True,15,5,992,46.02356153400849,COMPLETE
6,0.04723930055765994,2025-12-03 14:41:21.202771,2025-12-03 14:41:34.512645,0 days 00:00:13.309874,4.420010708643055,2,5,1,True,15,19,279,40.31517271265922,COMPLETE
7,0.04723930055765994,2025-12-03 14:41:22.706917,2025-12-03 14:41:36.749164,0 days 00:00:14.042247,1.9673654831902747,4,9,4,True,9,9,682,29.288180862456628,COMPLETE
8,0.04723930055765994,2025-12-03 14:41:30.745626,2025-12-03 14:41:44.017441,0 days 00:00:13.271815,3.7210123597822684,1,1,4,True,7,19,318,24.66813382931771,COMPLETE
9,0.048589324231624896,2025-12-03 14:41:34.513539,2025-12-03 14:41:46.757302,0 days 00:00:12.243763,4.7063690283506485,5,5,3,False,1,13,941,3.6015848783773894,COMPLETE
10,0.04723930055765994,2025-12-03 14:41:35.078387,2025-12-03 14:41:47.770470,0 days 00:00:12.692083,4.727460062976703,2,3,2,False,7,19,509,36.60962832409056,COMPLETE
11,0.04733399752733773,2025-12-03 14:41:36.751265,2025-12-03 14:41:51.576462,0 days 00:00:14.825197,3.4256176324099523,3,9,2,False,15,17,512,21.060421234834102,COMPLETE
12,0.04723930055765994,2025-12-03 14:41:44.018346,2025-12-03 14:42:00.214550,0 days 00:00:16.196204,1.6297356458355152,5,15,2,True,7,15,400,36.564393526320714,COMPLETE
13,0.047231478193392254,2025-12-03 14:41:46.758050,2025-12-03 14:41:59.157806,0 days 00:00:12.399756,1.2962241983293274,2,5,5,False,5,17,120,3.725206467338291,COMPLETE
14,0.04485293692023877,2025-12-03 14:41:47.771390,2025-12-03 14:42:03.493262,0 days 00:00:15.721872,0.41965091319003767,5,9,5,False,11,17,742,4.714881664541349,COMPLETE
15,0.05232753313955972,2025-12-03 14:41:51.577244,2025-12-03 14:42:09.228303,0 days 00:00:17.651059,0.18818854118569783,5,11,5,False,11,25,750,7.57959524857387,COMPLETE
16,0.04454137402517141,2025-12-03 14:41:59.158693,2025-12-03 14:42:21.546626,0 days 00:00:22.387933,0.17262229819373642,5,11,5,False,11,45,726,13.065191074246915,COMPLETE
17,0.04398521346257436,2025-12-03 14:42:00.215535,2025-12-03 14:42:13.729808,0 days 00:00:13.514273,0.10086546793756557,2,11,4,False,11,7,736,11.617532905590041,COMPLETE
18,0.04683244883733165,2025-12-03 14:42:03.493988,2025-12-03 14:42:19.349947,0 days 00:00:15.855959,0.9295527497619023,2,11,4,False,11,25,785,12.593925248542766,COMPLETE
19,0.047173012678872056,2025-12-03 14:42:09.229530,2025-12-03 14:42:22.259032,0 days 00:00:13.029502,0.8682261455189403,2,7,4,False,11,7,147,13.400368197012615,COMPLETE
